agreement_number;currency;acc_cod;saldo
1601/07/406/6339/1_KZT;KZT;FEE_ACR;16327.09
1601/07/406/6339/2_KZT;KZT;FEE_ACR;126885.02
1501/07/114/57_KZT;KZT;FEE_ACR;4524.30
0402/07/406/83;KZT;FEE_ACR;68937.71
0201/07/406/179-1_KZT;KZT;FEE_ACR;65144.62
0201/07/406/179-2_KZT;KZT;FEE_ACR;4511.40
0201/07/406/179-3_KZT;KZT;FEE_ACR;24060.80
0201/07/406/179-4_KZT;KZT;FEE_ACR;94198.03
1401/07/105/193;KZT;FEE_ACR;73958.41
1501/07/114/183;USD;FEE_ACR;130.20
1501/07/114/205;USD;FEE_ACR;794.01
1501/06/114/513;KZT;FEE_ACR;3799.59
0402/07/406/86-2;KZT;FEE_ACR;46905.60
0101/07/414/6;KZT;FEE_ACR;37470.97
1501/07/113/40_KZT;KZT;FEE_ACR;63215.42
0402/07/406/97-1;KZT;FEE_ACR;61090.83
0402/07/406/479-1;KZT;FEE_ACR;99172.80
1401/07/114/128_KZT;KZT;FEE_ACR;4388.38
1501/07/114/64_KZT;KZT;FEE_ACR;47422.36
0201/07/406/463-1;KZT;FEE_ACR;94996.80
1501/07/114/91_KZT;KZT;FEE_ACR;71769.42
1501/06/114/509_KZT;KZT;FEE_ACR;2246.48
1101/07/406/333-1;KZT;FEE_ACR;65999.72
1101/07/406/333-2;KZT;FEE_ACR;73199.23
1601/07/414/6035;KZT;FEE_ACR;76568.10
1501/07/114/129;USD;FEE_ACR;147.00
0402/07/114/10_KZT;KZT;FEE_ACR;4226.93
1501/07/414/60;USD;FEE_ACR;965.96
1401/07/114/324_KZT;KZT;FEE_ACR;1902.29
1401/07/414/133_KZT;KZT;FEE_ACR;30570.65
1401/07/114/184_KZT;KZT;FEE_ACR;65291.13
0201/07/406/542-1_KZT;KZT;FEE_ACR;228879.07
0201/07/406/542-2_KZT;KZT;FEE_ACR;316805.31
1501/07/414/18;USD;FEE_ACR;294.40
1301/07/121/15;USD;FEE_ACR;2541.85
0501/07/414/95_KZT;KZT;FEE_ACR;198942.39
0201/07/406/326-1_KZT;KZT;FEE_ACR;100178.06
1401/07/114/255_KZT;KZT;FEE_ACR;57152.55
1501/07/114/202;USD;FEE_ACR;671.44
1501/07/414/52;USD;FEE_ACR;304.56
1401/07/114/306_KZT;KZT;FEE_ACR;69427.91
1101/07/414/28_KZT;KZT;FEE_ACR;25054.00
1501/07/114/60_KZT;KZT;FEE_ACR;35623.67
0701/07/114/41_KZT;KZT;FEE_ACR;35149.16
1401/07/414/88_KZT;KZT;FEE_ACR;1549.70
1501/07/114/17;USD;FEE_ACR;107.29
0402/07/406/441-1.;KZT;FEE_ACR;50000.00
1501/07/114/164;KZT;FEE_ACR;179.00
0402/07/406/693_KZT;KZT;FEE_ACR;153586.12
1501/07/114/84_KZT;KZT;FEE_ACR;8440.88
0501/07/414/222;KZT;FEE_ACR;3565.98
0501/07/414/233;KZT;FEE_ACR;3616.02
0501/07/414/123_KZT;KZT;FEE_ACR;86872.26
0402/07/406/419-1;KZT;FEE_ACR;891733.76
0402/07/406/628-1;KZT;FEE_ACR;132637.99
0402/07/406/628-2;KZT;FEE_ACR;58870.00
0402/07/406/628-3;KZT;FEE_ACR;118780.68
1501/07/414/20;USD;FEE_ACR;614.32
1101/07/406/133-2_KZT;KZT;FEE_ACR;49309.75
1301/08/305/4;KZT;FEE_ACR;66889.58
1301/07/105/304;KZT;FEE_ACR;37939.48
1501/07/414/46_KZT;KZT;FEE_ACR;46706.54
1101/07/414/56;KZT;FEE_ACR;4321.40
0501/07/114/261_KZT;KZT;PNLT_FEE_OVRD;766.72
1501/07/114/57_KZT;KZT;PNLT_FEE_OVRD;45577.80
1101/07/414/65;KZT;PNLT_FEE_OVRD;70380.28
1501/07/114/183;USD;PNLT_FEE_OVRD;125.54
1101/07/414/37;KZT;PNLT_FEE_OVRD;7935.96
1101/07/414/38;KZT;PNLT_FEE_OVRD;2199.20
1501/06/114/513;KZT;PNLT_FEE_OVRD;3508.05
0402/07/406/86-2;KZT;PNLT_FEE_OVRD;40026.11
0101/07/414/6;KZT;PNLT_FEE_OVRD;39264.00
1501/07/113/40_KZT;KZT;PNLT_FEE_OVRD;285680.75
0402/07/406/97-1;KZT;PNLT_FEE_OVRD;96115.96
0402/07/406/479-1;KZT;PNLT_FEE_OVRD;62534.04
1401/07/114/128_KZT;KZT;PNLT_FEE_OVRD;34642.92
1501/07/114/64_KZT;KZT;PNLT_FEE_OVRD;22107.99
1501/07/114/91_KZT;KZT;PNLT_FEE_OVRD;673329.56
1501/06/114/509_KZT;KZT;PNLT_FEE_OVRD;118824.56
0501/07/414/47_KZT;KZT;PNLT_FEE_OVRD;6958.28
1101/07/114/28_KZT;KZT;PNLT_FEE_OVRD;42697.94
0402/07/114/10_KZT;KZT;PNLT_FEE_OVRD;2620.75
1501/06/113/63;KZT;PNLT_FEE_OVRD;27312.00
1401/07/414/133_KZT;KZT;PNLT_FEE_OVRD;2153.58
1501/07/414/18;USD;PNLT_FEE_OVRD;428.62
0501/07/2114/20_KZT;KZT;PNLT_FEE_OVRD;14037.25
0201/07/406/326-1_KZT;KZT;PNLT_FEE_OVRD;17939.75
0501/07/114/370_KZT;KZT;PNLT_FEE_OVRD;4204.70
1501/07/114/222_KZT;KZT;PNLT_FEE_OVRD;11339.76
0701/07/114/41_KZT;KZT;PNLT_FEE_OVRD;97890.53
0901/07/114/1737_KZT;KZT;PNLT_FEE_OVRD;14165.41
0402/07/406/441-1.;KZT;PNLT_FEE_OVRD;19350.00
1501/07/114/164;KZT;PNLT_FEE_OVRD;404705.79
1501/07/114/84_KZT;KZT;PNLT_FEE_OVRD;236930.98
0501/07/414/222;KZT;PNLT_FEE_OVRD;2567.50
0501/07/414/233;KZT;PNLT_FEE_OVRD;2603.54
0402/07/406/628-1;KZT;PNLT_FEE_OVRD;36113.71
1501/07/414/20;USD;PNLT_FEE_OVRD;1212.32
0601/07/414/4563;USD;PNLT_FEE_OVRD;304.00
1501/07/414/46_KZT;KZT;PNLT_FEE_OVRD;60977.99
0601/07/114/2178_KZT;KZT;PNLT_FEE_OVRD;16385.86
