"branch";"account_type";"description";"npc";"saldo";"acc_cod";"currency";"customercode";"idn";"agreement_number";"com_agr_id";"migr_date"
г.Алматы;0;1;;1550000.00;ОД;KZT;;;110;;27.02.2019
г.Алматы;0;2;;3618772.00;ОД;KZT;;;63;;27.02.2019
г.Алматы;0;1;;5000000.00;ОД;KZT;;;101;;27.02.2019
г.Алматы;0;1;;3046594.00;ОД;KZT;;;77;;27.02.2019
г.Алматы;0;1;;3000000.00;ОД;KZT;;;87;;27.02.2019
г.Алматы;0;1;;3100000.00;ОД;KZT;;;90;;27.02.2019
г.Алматы;0;4;;3177537.00;ОД;KZT;;;103;;27.02.2019
г.Алматы;0;4;;13458756.00;ОД;KZT;;;61;;27.02.2019
г.Алматы;0;1;;4000000.00;ОД;KZT;;;108;;27.02.2019
г.Алматы;0;4;;6243414.00;ОД;KZT;;;58;;27.02.2019
г.Алматы;0;4;;2389076.00;ОД;KZT;;;54;;27.02.2019
г.Алматы;0;4;;1345610.00;ОД;KZT;;;67;;27.02.2019
г.Алматы;0;1;;7000000.00;ОД;KZT;;;79;;27.02.2019
г.Алматы;0;1;;2200000.00;ОД;KZT;;;111;;27.02.2019
г.Алматы;0;1;;5000000.00;ОД;KZT;;;105;;27.02.2019
г.Алматы;0;1;;10000000.00;ОД;KZT;;;106;;27.02.2019
г.Алматы;0;1;;3000000.00;ОД;KZT;;;107;;27.02.2019
г.Алматы;0;1;;2000000.00;ОД;KZT;;;109;;27.02.2019
г.Алматы;0;1;;8000000.00;ОД;KZT;;;84;;27.02.2019
г.Алматы;0;1;;8000000.00;ОД;KZT;;;91;;27.02.2019
г.Алматы;0;3;;13477473.00;ОД;KZT;;;41;;27.02.2019
г.Семей;0;4;;2719913.00;ОД;KZT;;;69;;27.02.2019
г.Семей;0;1;;801998.00;ОД;KZT;;;88;;27.02.2019
г.Семей;0;2;;448598.00;ОД;KZT;;;29;;27.02.2019
г.Семей;0;4;;9496459.00;ОД;KZT;;;99;;27.02.2019
г.Семей;0;4;;3161344.00;ОД;KZT;;;97;;27.02.2019
г.Актобе;0;1;;4500000.00;ОД;KZT;;;82;;27.02.2019
г.Актобе;0;1;;7500000.00;ОД;KZT;;;83;;27.02.2019
г.Актобе;0;1;;1517547.00;ОД;KZT;;;66;;27.02.2019
г.Актобе;0;1;;3700000.00;ОД;KZT;;;94;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;110;;27.02.2019
г.Алматы;0;2;;;ПОД;KZT;;;63;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;101;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;77;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;87;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;90;;27.02.2019
г.Алматы;0;4;;14804.00;ПОД;KZT;;;103;;27.02.2019
г.Алматы;0;4;;;ПОД;KZT;;;61;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;108;;27.02.2019
г.Алматы;0;4;;;ПОД;KZT;;;58;;27.02.2019
г.Алматы;0;4;;;ПОД;KZT;;;54;;27.02.2019
г.Алматы;0;4;;;ПОД;KZT;;;67;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;79;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;111;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;105;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;106;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;107;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;109;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;84;;27.02.2019
г.Алматы;0;1;;;ПОД;KZT;;;91;;27.02.2019
г.Алматы;0;3;;;ПОД;KZT;;;41;;27.02.2019
г.Семей;0;4;;;ПОД;KZT;;;69;;27.02.2019
г.Семей;0;1;;;ПОД;KZT;;;88;;27.02.2019
г.Семей;0;2;;;ПОД;KZT;;;29;;27.02.2019
г.Семей;0;4;;;ПОД;KZT;;;99;;27.02.2019
г.Семей;0;4;;;ПОД;KZT;;;97;;27.02.2019
г.Актобе;0;1;;;ПОД;KZT;;;82;;27.02.2019
г.Актобе;0;1;;;ПОД;KZT;;;83;;27.02.2019
г.Актобе;0;1;;;ПОД;KZT;;;66;;27.02.2019
г.Актобе;0;1;;;ПОД;KZT;;;94;;27.02.2019
г.Алматы;0;1;;14208.00;%%;KZT;;;110;;27.02.2019
г.Алматы;0;2;;116102.00;%%;KZT;;;63;;27.02.2019
г.Алматы;0;1;;122222.00;%%;KZT;;;101;;27.02.2019
г.Алматы;0;1;;130326.00;%%;KZT;;;77;;27.02.2019
г.Алматы;0;1;;119166.00;%%;KZT;;;87;;27.02.2019
г.Алматы;0;1;;61569.00;%%;KZT;;;90;;27.02.2019
г.Алматы;0;4;;8434.00;%%;KZT;;;103;;27.02.2019
г.Алматы;0;4;;261698.00;%%;KZT;;;61;;27.02.2019
г.Алматы;0;1;;97778.00;%%;KZT;;;108;;27.02.2019
г.Алматы;0;4;;233087.00;%%;KZT;;;58;;27.02.2019
г.Алматы;0;4;;15927.00;%%;KZT;;;54;;27.02.2019
г.Алматы;0;4;;3588.00;%%;KZT;;;67;;27.02.2019
г.Алматы;0;1;;48611.00;%%;KZT;;;79;;27.02.2019
г.Алматы;0;1;;16806.00;%%;KZT;;;111;;27.02.2019
г.Алматы;0;1;;200000.00;%%;KZT;;;105;;27.02.2019
г.Алматы;0;1;;373334.00;%%;KZT;;;106;;27.02.2019
г.Алматы;0;1;;84000.00;%%;KZT;;;107;;27.02.2019
г.Алматы;0;1;;21333.00;%%;KZT;;;109;;27.02.2019
г.Алматы;0;1;;149334.00;%%;KZT;;;84;;27.02.2019
г.Алматы;0;1;;128000.00;%%;KZT;;;91;;27.02.2019
г.Алматы;0;3;;542842.00;%%;KZT;;;41;;27.02.2019
г.Семей;0;4;;113329.00;%%;KZT;;;69;;27.02.2019
г.Семей;0;1;;19605.00;%%;KZT;;;88;;27.02.2019
г.Семей;0;2;;685.00;%%;KZT;;;29;;27.02.2019
г.Семей;0;4;;211033.00;%%;KZT;;;99;;27.02.2019
г.Семей;0;4;;92206.00;%%;KZT;;;97;;27.02.2019
г.Актобе;0;1;;100000.00;%%;KZT;;;82;;27.02.2019
г.Актобе;0;1;;166667.00;%%;KZT;;;83;;27.02.2019
г.Актобе;0;1;;14754.00;%%;KZT;;;66;;27.02.2019
г.Актобе;0;1;;35972.00;%%;KZT;;;94;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;110;;27.02.2019
г.Алматы;0;2;;;П%%;KZT;;;63;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;101;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;77;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;87;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;90;;27.02.2019
г.Алматы;0;4;;135666.00;П%%;KZT;;;103;;27.02.2019
г.Алматы;0;4;;;П%%;KZT;;;61;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;108;;27.02.2019
г.Алматы;0;4;;207105.00;П%%;KZT;;;58;;27.02.2019
г.Алматы;0;4;;99953.00;П%%;KZT;;;54;;27.02.2019
г.Алматы;0;4;;108227.00;П%%;KZT;;;67;;27.02.2019
г.Алматы;0;1;;301389.00;П%%;KZT;;;79;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;111;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;105;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;106;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;107;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;109;;27.02.2019
г.Алматы;0;1;;320000.00;П%%;KZT;;;84;;27.02.2019
г.Алматы;0;1;;330667.00;П%%;KZT;;;91;;27.02.2019
г.Алматы;0;3;;;П%%;KZT;;;41;;27.02.2019
г.Семей;0;4;;;П%%;KZT;;;69;;27.02.2019
г.Семей;0;1;;;П%%;KZT;;;88;;27.02.2019
г.Семей;0;2;;;П%%;KZT;;;29;;27.02.2019
г.Семей;0;4;;;П%%;KZT;;;99;;27.02.2019
г.Семей;0;4;;;П%%;KZT;;;97;;27.02.2019
г.Актобе;0;1;;;П%%;KZT;;;82;;27.02.2019
г.Актобе;0;1;;458938.00;П%%;KZT;;;83;;27.02.2019
г.Актобе;0;1;;;П%%;KZT;;;66;;27.02.2019
г.Актобе;0;1;;;П%%;KZT;;;94;;27.02.2019
