number;rate
1741/А;335.69
1839/А;335.69
0536/А;335.69
1713/А;338.87
1583/А;338.87
1225/А;338.87
1226/А;338.87
2822/А;338.87
3375/А;338.87
2990/А;338.87
3502/А;317.46
1594/A;317.46
3787/А;317.46
5988/А;317.46
5156/А;317.46
5155/А;317.46
5872/А;317.46
1554/А;317.46
6183/А;317.46
9497/А;185.8
;153.37
5431/551;150.26
5197/А;341.61
6355/А;327.63
0401/07/103/491;341.24
0401/07/102/392;150.73
0601/02/100/506;147.5
0101/06/406/1510-1;147.46
0801/08/102/297;147.09
0801/06/102/389;147.09
0801/07/102/406;147.09
0801/07/102/420;147.09
0801/08/102/69;147.09
0801/08/102/168;147.09
0801/08/102/196;147.09
0801/08/102/229;147.09
0501/07/114/261;146.6
1601/07/406/6339/1;154.23
1601/07/406/6339/2;154.23
0201/07/414/29;120.59
0801/07/406/891-2;150.3
1501/07/114/57;150.81
ГКС0402/07/406/586;146.39
1401/07/414/147;121.32
0801/07/102/356;150.41
07-42;146.46
0402/07/414/3;119.87
1101/07/414/80;147.2
1501/07/113/38;330.29
1101/07/114/17;149.91
1101/07/414/43;150.46
1401/07/114/305;120.7
0801/07/414/38;150.71
0501/07/114/290;146.75
1101/07/406/125-4;120.78
1101/07/406/125-5;120.78
1101/07/406/125-6;120.78
1401/07/406/932;148.72
1401/07/102/202;120.42
1401/06/104/11;150.3
1401/06/102/321;150.3
1401/07/102/236;150.3
1401/07/102/70-1;147.25
1401/07/102/70-2;147.25
0801/08/102/16;150.43
0801/07/102/147;150.43
0801/07/102/229;150.43
0101/07/113/7;120.05
0805/05/113/24;122.58
1401/07/102/197;146.55
1401/07/102/64-1;150.71
1401/07/102/64-2;150.71
1401/07/102/229-1;150.29
1401/07/406/1362-1;146.48
0801/07/406/670-2;150.68
0201/07/406/179-1;150.38
0201/07/406/179-2;150.38
0201/07/406/179-3;150.38
0201/07/406/179-4;150.38
1101/06/406/175-1;147.57
0401/02/110/274;181.7
0401/02/110/307;181.7
0401/03/110/130;181.7
0401/03/110/148;181.7
0401/03/110/64;181.7
0401/04/110/55;181.7
0402/07/414/9;150.59
ГКС№1401/07/406/680;150.74
1301/07/2114/2;146.89
1301/06/414/9;146.89
1301/07/414/32;150.97
1301/07/414/47;150.97
0501/06/414/190;150.38
ГКС№0801/07/406/749;150.39
0402/07/406/246;180.87
0402/07/406/849-2;119.54
0402/07/406/849-3;119.54
0801/07/406/99-1;151.44
0402/07/406/598;120.76
0402/07/114/56;120.6
ГКС№0801/07/406/945;150.58
1301/07/513/3;146.5
ГКС№1101/07/406/176;120.74
1101/06/414/60;150.85
1501/07/113/40;120.7
1401/07/114/128;120.56
1501/07/114/64;119.82
0401/06/113/494;120.49
1401/07/406/494-1;120.67
1401/07/406/494-2;120.67
0402/07/406/63-1;119.62
1401/07/406/1032-1;150.25
1401/07/406/707-1;120.65
1401/07/406/1226-1;150.74
1401/07/406/1226-2;150.74
0501/06/105/96;120.74
0501/07/406/531;150.76
1401/07/406/1419-1;147.45
1501/07/114/91;150.46
0201/06/406/372;121.65
0402/07/406/168-1;151
0402/07/414/35;150.33
1501/06/114/509;119.94
0501/07/414/47;148.08
1101/07/114/28;147.28
1101/07/505/27;147.12
0401/07/406/269-1;146.7
0601/07/406/3840-1;150.99
0402/07/114/10;119.54
1301/07/414/19;120.72
0402/07/414/7-1;119.79
0402/07/414/7-2;119.79
ГКС№0402/07/406/826;150.85
1401/07/114/324;150.76
0801/07/414/126;150.71
0402/07/414/25-2;145.8
1401/07/414/133;150.78
1401/07/114/184;120.45
1401/07/406/717-1;150.86
0402/07/406/593-1;148.21
0402/07/406/593-3;148.21
1401/07/114/57;150.59
0201/07/406/542-1;151.31
0201/07/406/542-2;151.31
0501/06/414/60;150.75
0501/06/414/409;150.62
0201/07/406/504-1;120.44
ГКС№1401/07/406/1190;150.79
1101/07/414/23;146.46
0801/07/406/325-1;147.16
0801/07/406/242-1;146.13
0501/07/2114/20;121.31
0501/07/414/199;121.31
1501/02/KRED/193;146.43
0501/07/414/95;147.15
0201/07/406/482-1;147.83
0201/07/406/482-2;147.83
0201/07/406/482-3;147.83
0201/07/406/482-4;147.83
0201/07/406/482-5;147.83
0101/06/406/1448-1;148.19
0201/07/406/326-1;119.75
1401/07/114/255;147.46
0501/07/114/370;150.76
1101/07/406/310-1;147.55
1101/07/406/310-2;147.55
0402/07/406/832-4;150.75
1401/06/406/1256-1;150.79
1401/07/114/306;150.75
1301/07/414/17;147.99
1301/07/414/26;147.99
0401/07/113/65;148.3
0401/07/406/1042-1;148.3
0401/07/406/1042-2;148.3
0501/07/114/341;147.46
1401/07/114/96;150.74
0801/07/114/182;119.79
1101/07/414/27;150.33
1101/07/414/28;150.33
0402/07/406/761-1;121.3
1501/07/114/222;119.82
0801/07/406/574-1;150
1501/07/114/60;147.51
0402/07/406/873-1;149.22
296;150.59
1301/07/406/544-1;147.22
1401/07/406/911-1;119.74
1401/07/406/911-3;119.74
1401/07/406/911-2;119.74
0701/07/114/41;150.3
0901/07/114/1737;150.79
1101/07/406/49-1;147.33
1101/07/406/212-1;147.33
1401/07/414/88;150.31
1401/07/406/1133-1;120.37
1401/07/406/1171-1;150.52
1401/07/406/1171-2;150.52
1101/07/406/341-1;148
0601/07/414/4437;120.83
0501/07/406/272;150.38
0501/07/414/189;120.36
0501/06/414/351;121.31
0402/07/406/693;148.72
1301/07/406/503-1;148.3
0801/07/406/926-1;119.81
0402/07/414/24;147.7
1501/07/114/84;150.73
0201/07/406/476-2;120.37
0201/07/406/476-1;120.37
0501/07/414/123;150.71
0402/07/406/437-1;121.56
0201/07/406/505-1;150.71
0201/07/406/505-2;150.71
0201/07/406/505-3;150.71
1101/07/414/22;149.28
0402/07/406/526-2;120.65
1101/07/406/133-2;148.3
0501/06/414/425;150.73
0501/07/406/714;150.77
1101/07/406/167-1;120.76
1101/07/406/167-2;146.41
0402/07/406/498;150.15
1501/07/414/46;120.13
1501/07/406/269-1;120.79
1501/07/406/342-1;120.79
0601/07/114/2178;150.73
